id,packet_size_avg,packet_size_sum,timestamp,device_name,device_id
1,64.625,679,2023-04-29 18:24:46.839545088,silent-meter-152,dev-38369
2,64.625,679,2023-12-25 14:00:06.615001088,tiny-thermo-839,dev-87348
3,64.625,679,2023-03-11 01:26:11.038994688,silent-meter-837,dev-15917
4,64.625,679,2023-09-02 00:38:39.535471616,bright-relay-105,dev-34485
5,64.625,679,2023-07-20 12:45:22.752753408,silent-thermo-738,dev-24805
6,64.625,679,2023-11-12 22:02:28.233900288,bright-tracker-741,dev-55816
7,64.625,679,2023-06-15 21:37:53.456950272,fast-meter-382,dev-66327
8,64.625,679,2023-02-11 13:01:14.439558144,fast-cam-108,dev-31486
9,64.625,679,2023-05-06 04:37:39.078503168,bright-relay-562,dev-87604
10,64.625,679,2023-02-02 05:23:10.129719552,tiny-relay-321,dev-95998
11,64.625,679,2023-07-24 06:52:54.168112128,sharp-thermo-920,dev-86650
12,64.625,679,2023-09-27 04:33:16.082789632,bright-thermo-463,dev-89640
13,64.625,679,2023-07-06 05:02:01.016708352,tiny-tracker-884,dev-755
14,64.625,679,2023-10-06 18:13:14.922493952,sharp-gateway-658,dev-20842
15,64.625,679,2023-05-24 04:14:51.939716096,sharp-gateway-581,dev-72238
16,64.625,679,2023-04-17 14:42:46.315256832,bright-meter-204,dev-62655
17,64.625,679,2023-10-22 19:47:38.256069888,bright-thermo-438,dev-18437
18,64.625,679,2023-08-11 08:43:16.260311040,smart-tracker-784,dev-53806
19,64.625,679,2023-11-16 00:51:55.260473344,fast-gateway-886,dev-95082
20,64.625,679,2023-06-27 02:24:14.317837056,silent-gateway-414,dev-46301
21,64.625,679,2023-05-13 16:59:23.889109760,bright-cam-991,dev-27416
22,64.625,679,2023-11-24 03:55:13.978599936,tiny-cam-892,dev-49261
23,64.625,679,2023-04-15 23:04:46.088246272,fast-meter-911,dev-81502
24,64.625,679,2023-02-08 20:24:37.265315840,fast-tracker-387,dev-586
25,64.625,679,2023-01-22 08:10:31.882813184,silent-gateway-598,dev-49461
26,64.625,679,2023-04-29 22:23:57.541057792,sharp-meter-904,dev-26125
27,64.625,679,2023-10-19 20:28:25.255720192,sharp-relay-736,dev-32784
28,64.625,679,2023-09-01 17:09:42.095428864,bright-gateway-488,dev-725
29,64.625,679,2023-03-03 07:08:06.727351296,smart-relay-292,dev-72765
30,64.625,679,2023-04-08 13:30:47.086823936,fast-tracker-494,dev-17299
31,64.625,679,2023-09-27 04:44:36.462809088,fast-relay-491,dev-67054
32,64.625,679,2023-11-07 09:30:53.280349440,tiny-cam-766,dev-23235
