id,packet_size_avg,packet_size_sum,timestamp,device_name,device_id
0,64.625,679,2023-11-27 02:01:00.314254848,sharp-relay-167,dev-51096
1,64.625,679,2023-12-15 22:08:14.743672064,smart-relay-376,dev-8020
2,64.625,679,2023-10-26 22:39:03.680274176,tiny-thermo-937,dev-11723
3,64.625,679,2023-09-19 16:14:39.988429056,sharp-gateway-330,dev-8966
4,64.625,679,2023-01-03 19:35:48.661924864,smart-meter-549,dev-54320
5,64.625,679,2023-11-15 07:31:10.293186560,smart-relay-458,dev-41948
6,64.625,679,2023-07-27 12:42:54.729006080,tiny-tracker-197,dev-10124
7,64.625,679,2023-03-17 19:08:02.178113536,bright-thermo-723,dev-7793
8,64.625,679,2023-01-02 02:58:02.929172224,fast-thermo-588,dev-13666
9,64.625,679,2023-04-27 02:09:47.428730368,silent-relay-966,dev-83139
10,64.625,679,2023-01-22 07:45:19.090978048,bright-cam-302,dev-7766
11,64.625,679,2023-08-12 07:20:26.591745536,silent-cam-323,dev-45931
12,64.625,679,2023-05-02 13:20:42.560606976,bright-relay-411,dev-22039
13,64.625,679,2023-08-24 23:39:12.705343488,sharp-meter-162,dev-73413
14,64.625,679,2023-01-20 13:06:51.997689344,sharp-tracker-492,dev-33450
15,64.625,679,2023-09-22 13:41:04.393816576,fast-relay-109,dev-44682
16,64.625,679,2023-07-05 04:58:44.979148032,sharp-cam-393,dev-7432
17,64.625,679,2023-03-08 14:48:18.120473856,fast-gateway-953,dev-43253
18,64.625,679,2023-12-17 00:15:02.057085440,sharp-cam-182,dev-36674
19,64.625,679,2023-09-23 14:17:07.829034752,sharp-gateway-656,dev-22861
20,64.625,679,2023-08-08 11:15:02.053579776,fast-thermo-749,dev-62939
21,64.625,679,2023-11-30 06:05:20.189084672,sharp-cam-298,dev-56423
22,64.625,679,2023-12-06 22:33:48.113555968,sharp-meter-542,dev-6534
23,64.625,679,2023-06-16 17:01:35.120532224,fast-cam-517,dev-17435
24,64.625,679,2023-09-15 16:32:47.001318912,bright-meter-252,dev-13707
25,64.625,679,2023-03-02 13:07:55.475912704,fast-tracker-924,dev-81341
26,64.625,679,2023-03-30 10:45:08.436057856,sharp-cam-198,dev-86813
27,64.625,679,2023-03-29 02:18:08.840237568,tiny-tracker-123,dev-11890
28,64.625,679,2023-12-02 17:40:48.434371072,sharp-meter-682,dev-91997
29,64.625,679,2023-02-05 00:58:46.568961024,sharp-gateway-625,dev-24273
30,64.625,679,2023-03-17 21:36:10.148305408,bright-tracker-449,dev-62999
31,64.625,679,2023-11-28 03:34:20.664358144,tiny-tracker-804,dev-46312
32,64.625,679,2023-02-05 00:42:16.190561792,smart-relay-754,dev-92475
33,64.625,679,2023-02-28 00:48:16.464461312,bright-gateway-978,dev-65442
34,64.625,679,2023-06-13 16:43:46.756125696,tiny-relay-485,dev-62761
35,64.625,679,2023-09-19 01:29:10.492048640,silent-relay-139,dev-79381
36,64.625,679,2023-06-19 23:43:45.506332672,smart-gateway-712,dev-85960
37,64.625,679,2023-12-23 09:48:16.636825600,sharp-relay-521,dev-13678
38,64.625,679,2023-03-24 07:55:29.444993792,silent-relay-684,dev-44739
39,64.625,679,2023-10-30 20:30:43.319813376,bright-cam-510,dev-99629
40,64.625,679,2023-12-14 22:34:14.748914944,silent-tracker-386,dev-3250
41,64.625,679,2023-07-16 04:23:21.701036800,fast-relay-820,dev-53541
42,64.625,679,2023-05-06 09:57:21.780715264,bright-tracker-887,dev-9702
43,64.625,679,2023-10-30 06:27:24.152428800,tiny-tracker-692,dev-95077
44,64.625,679,2023-04-16 01:32:42.181384960,bright-relay-224,dev-93181
45,64.625,679,2023-03-30 14:46:14.145485568,bright-gateway-458,dev-24157
